"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
174,"Local","Italy","Rome","Terrestrial","All","Contemporary only","Management action","European Biodiversity Strategy","GIS overlay/ Ranking / Clustering","Multiple",NA,"None","None","no","no","Capotorti G., Alós Ortí M.M., Copiz R., Fusaro L., Mollo B., Salvatori E., Zavattero L.","Biodiversity and ecosystem services in urban green infrastructure planning: A case study from the metropolitan area of Rome (Italy)",2019,"Urban Forestry and Urban Greening","10.1016/j.ufug.2017.12.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039931952&doi=10.1016%2fj.ufug.2017.12.014&partnerID=40&md5=91a951b7423f1be35151bf1b94f8ea29","Air pollution removal; Ecological connectivity; Ecosystem conditions; Environmental and socio-economic benefits; European biodiversity strategy; Urban forests and trees","air quality; atmospheric pollution; biodiversity; connectivity; ecosystem service; environmental degradation; environmental restoration; infrastructural development; infrastructure planning; metropolitan area; native species; pollutant removal; project assessment; socioeconomic conditions; urban ecosystem; urban forestry; urban planning; Italy; Lazio; Roma [Lazio]; Rome; Quercus","Article","Scopus",46,9
175,"Local","Spain","Douro river","Freshwater","Rivers","Contemporary only","Management action","None","GIS overlay/ Ranking / Clustering","NA",NA,"None","Structural","no","no","Cortes R.M.V., Peredo A., Terêncio D.P.S., Fernandes L.F.S., Moura J.P., Jesus J.J.B., Magalhães M.P.M., Ferreira P.J.S., Pacheco F.A.L.","Undamming the douro river catchment: A stepwise approach for prioritizing dam removal",2019,"Water (Switzerland)","10.3390/w11040693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064409257&doi=10.3390%2fw11040693&partnerID=40&md5=74fae84aebddc0c2007c051d257b9efc","Dam removal; Fish migration; Habitat patch connectivity; Metrics; Probabilistic model","Artificial intelligence; Catchments; Computer hardware description languages; Cost benefit analysis; Decision support systems; Drainage; Economics; Ecosystems; Fish; Flood control; Land use; Petroleum reservoir engineering; Reservoirs (water); Runoff; Water supply; Weirs; Dam removal; Fish migration; Habitat patches; Metrics; Probabilistic modeling; Rivers; catchment; connectivity; cost-benefit analysis; dam removal; decision support system; fish; migration; model; movement; prioritization; probability; river; stream; Duero Basin; Portugal","Article","Scopus",14,1
176,"Local","Switzerland","Vaud","Terrestrial","All","Both","Priority places","None","Zonation","Species",767,"None","Functional","no","no","Vincent C., Fernandes R.F., Cardoso A.R., Broennimann O., Di Cola V., D'Amen M., Ursenbacher S., Schmidt B.R., Pradervand J.-N., Pellissier L., Guisan A.","Climate and land-use changes reshuffle politically-weighted priority areas of mountain biodiversity",2019,"Global Ecology and Conservation","10.1016/j.gecco.2019.e00589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062841504&doi=10.1016%2fj.gecco.2019.e00589&partnerID=40&md5=e8a0be054192e2d4e071f81afa4b22e5","Conservation prioritization; Decision support tools; Land costs; Species distribution models; Switzerland; Zonation","NA","Article","Scopus",17,0
177,"Local","Germany","South west","Terrestrial","Forest","Both","Management action","None","Integer programming","Species",7,"Multiple","None","yes","no","Augustynczik A.L.D., Yousefpour R., Hanewinkel M.","Climate change and the provision of biodiversity in public temperate forests – A mechanism design approach for the implementation of biodiversity conservation policies",2019,"Journal of Environmental Management","10.1016/j.jenvman.2019.05.089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067299101&doi=10.1016%2fj.jenvman.2019.05.089&partnerID=40&md5=79a1a43ecd7f0f792588408bb000a551","Conservation planning; Forest biodiversity; Forest birds; Forest optimization; Mechanism design","abundance; biodiversity; bird; climate change; conservation planning; conservation status; design method; forest dynamics; forest management; forest resource; policy implementation; temperate forest; article; bird; climate change; conservation biology; forest dynamics; forest management; Germany; government; landscape; nonhuman; opportunity cost; temperate deciduous forest; animal; biodiversity; environmental protection; forest; Germany; Aves; Animals; Biodiversity; Climate Change; Conservation of Natural Resources; Forests; Germany","Article","Scopus",5,0
178,"Local","Sweden","Central","Terrestrial","Wetlands, Forest","Contemporary only","Representation","None","GIS overlay/ Ranking / Clustering","Species",48,"None","None","no","no","Nord M., Ranlund Å., Gustafsson L., Johansson V., Pärt T., Forslund P.","The effectiveness of area protection to capture coastal bird richness and occurrence in the Swedish archipelago",2019,"Global Ecology and Conservation","10.1016/j.gecco.2019.e00528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060880864&doi=10.1016%2fj.gecco.2019.e00528&partnerID=40&md5=237204cb5f6f28e87c7cc8129c43056d","Animal sanctuaries; Area protection; Coastal breeding birds; Human exploitation; Nature reserves; Rarity-weighted richness","NA","Article","Scopus",1,0
179,"Local","Portugal","Agarve","Terrestrial","All","Contemporary only","Management action","None","Integer programming","Other",1,"Multi-objective/criteria","None","yes","no","Costa Freitas M.B., Xavier A., Fragoso R.","An integrated decision support system for the Mediterranean forests",2019,"Land Use Policy","10.1016/j.landusepol.2015.12.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033471887&doi=10.1016%2fj.landusepol.2015.12.015&partnerID=40&md5=fa015ae8d4180b472440c67a91b74f9e","Decision support system; Fire hazard; Mathematical programming; Mediterranean forests; Preservation of the biodiversity; Sustainable forest management","biodiversity; decision support system; fire management; forest fire; forest inventory; forest management; sustainable forestry; Algarve; Portugal","Article","Scopus",8,0
180,"Local","Italy","Circeo National Park","Terrestrial",NA,"Contemporary only","Representation","case study","Marxan*","Species",149,"None","None","no","no","Isotti R., Monacelli M.","Bird communities analysis and marxan software for the management of a mediterranean protected area",2019,"Avocetta","10.30456/AVO.2019202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092904782&doi=10.30456%2fAVO.2019202&partnerID=40&md5=93d52b20bdfe510b3259bebffa5276db","Bird communities; Natural area management; Zonation","NA","Article","Scopus",0,0
181,"Local","Spain","Cachucho MPA","Marine",NA,"Contemporary only","Priority places","case study","Marxan*","Species",6,"Costs","None","yes","no","Rodríguez-Basalo A., Sánchez F., Punzón A., Gómez-Ballesteros M.","Updating the Master Management Plan for El Cachucho MPA (Cantabrian Sea) using a spatial planning approach",2019,"Continental Shelf Research","10.1016/j.csr.2019.06.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068982490&doi=10.1016%2fj.csr.2019.06.010&partnerID=40&md5=b8f7af7249318f8dfb48cf9f1cb060ec","El Cachucho MPA; Habitat suitability; Le Danois Bank; Marxan; MSP; Nature 2000 network","conservation management; conservation status; decision making; environmental values; fish; fishing effort; marine park; protected area; software; spatial distribution; spatial planning; spawning; sponge; stock assessment; Atlantic Ocean; Austria; Bay of Biscay; Le Danois Bank; Callogorgia verticillata; Geodia barretti; Gorgonacea; Leiopathes glaberrima; Phakellia robusta; Placogorgia","Article","Scopus",13,0
182,"Local","Spain","Ebro River catchment","Freshwater","Rivers","Contemporary only","Priority places","Biodiversity Strategy, Habitats Directive","Marxan*","Multiple",119,"Costs","Structural","yes","yes","Cañedo-Argüelles M., Hermoso V., Herrera-Grao T., Barquín J., Bonada N.","Freshwater conservation planning informed and validated by public participation: The Ebro catchment, Spain, as a case study",2019,"Aquatic Conservation: Marine and Freshwater Ecosystems","10.1002/aqc.3108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067470169&doi=10.1002%2faqc.3108&partnerID=40&md5=7ff22a910546cee1eda5213051cb2c6d","freshwater biodiversity; freshwater protected areas; marxan; public participation process; systematic conservation planning","biodiversity; catchment; conservation planning; design method; ecological modeling; freshwater ecosystem; invasive species; local participation; protected area; river; software; Ebro Basin; Spain; Invertebrata","Article","Scopus",7,0
183,"National","Ireland",NA,"Terrestrial","All","Contemporary only","Representation","case study","Other","Species",1017,"None","None","no","no","Walsh A., Sullivan C.A., Waldren S., Finn J.A.","Development of a scoring method to identify important areas of plant diversity in Ireland",2019,"Journal for Nature Conservation","10.1016/j.jnc.2018.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056564946&doi=10.1016%2fj.jnc.2018.10.002&partnerID=40&md5=304705490b258ab543b3d8cb69e4f0c5","Conservation priorities; Plant distribution; Plant diversity; Protected areas","biodiversity; conservation status; protected area; spatial distribution; species conservation; species diversity; vascular plant; Ireland; Tracheophyta","Article","Scopus",8,1
184,"Local","Portugal","South west","Terrestrial","Woodland","Contemporary only","Priority places","case study","Marxan*","Other",2,"Constrains","None","yes","yes","Pinto R., Antunes P., Blumentrath S., Brouwer R., Clemente P., Santos R.","Spatial modelling of biodiversity conservation priorities in Portugal's Montado ecosystem using Marxan with Zones",2019,"Environmental Conservation","10.1017/S0376892919000249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070841470&doi=10.1017%2fS0376892919000249&partnerID=40&md5=c58b70d5a88ebcb62b1863452f4ae272","agri-environmental measures; biodiversity conservation; cost-effectiveness; Marxan with Zones; Montado ecosystem; spatial modelling","Biodiversity; Cost benefit analysis; Cost effectiveness; Costs; Economic and social effects; Ecosystems; Environmental protection; Land use; Biodiversity conservation; Conservation policy; Ecologically vulnerable areas; Economic opportunities; Environmental measures; Opportunity costs; Spatial modelling; Species conservations; Conservation","Article","Scopus",5,0
185,"National","Denmark",NA,"Cross-realm",NA,"Contemporary only","Management action","case study","GIS overlay/ Ranking / Clustering","Multiple",6,"None","None","no","no","Odgaard M.V., Olesen J.E., Graversgaard M., Børgesen C.D., Svenning J.-C., Dalgaard T.","Targeted set-aside: Benefits from reduced nitrogen loading in Danish aquatic environments",2019,"Journal of Environmental Management","10.1016/j.jenvman.2019.06.107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068238702&doi=10.1016%2fj.jenvman.2019.06.107&partnerID=40&md5=b71cfe84e361153407b41ebf99b90563","Agriculture; Land rent; Land use; Multifunctionality; Nitrogen leaching; Spatial variation of N retention","nitrogen; ground water; nitrogen; agricultural land; aquatic environment; land use; leaching; nitrogen; set-aside; spatial variation; agricultural land; aquatic environment; Article; biodiversity; catchment; controlled study; human; rural area; waste water; water management; water quality; agriculture; Denmark; environmental monitoring; water pollutant; Denmark; Agriculture; Denmark; Environmental Monitoring; Groundwater; Nitrogen; Water Pollutants, Chemical","Article","Scopus",3,1
186,"Europe","Europe",NA,"Terrestrial","all","Contemporary only","Priority places","EU Biodiversity Strategy. Habitats Diretive, Birds Directive","Marxan*","Species",1282,"None","Structural","no","no","Hermoso, V., Morán-Ordóñez, A., Canessa, S., Brotons, Ll.","Realising the potential of Natura 2000 to achieve EU conservation goals as 2020 approaches",2019,"Scientific Reports","10.1038/s41598-019-52625-4","https://www.nature.com/articles/s41598-019-52625-4",NA,NA,"Article","Manual",20,0
187,"Regional","Denmark, Finland, Iceland, Norway, Sweden",NA,"Terrestrial","All","Contemporary only","Priority places","CBW, other","Other","Species",2553,"None","None","no","no","Fitzgerald, H., Palmé, A., Asdal, Å., Endresen, D., Kiviharju, E., Lund, B., Rasmussen, M., Thorbjörnsson, H. and Weibull, J.,","A regional approach to Nordic crop wild relative in situ conservation planning",2019,"Plant genetic resources","10.1017/S147926211800059X",NA,NA,NA,"Article","Manual",7,7
